AG.LND.AGRI.ZS,AG.LND.EL5M.UR.ZS,AG.LND.FRST.ZS,BG.GSR.NFSV.GD.ZS,BM.GSR.TRVL.ZS,BM.KLT.DINV.WD.GD.ZS,BN.GSR.MRCH.CD,BN.KLT.DINV.CD,BX.TRF.PWKR.DT.GD.ZS,CM.MKT.LCAP.GD.ZS,CM.MKT.TRAD.GD.ZS,DT.DOD.ALLC.ZS,DT.DOD.DSTC.IR.ZS,DT.DOD.PVLX.GN.ZS,DT.INT.DECT.GN.ZS,DT.ODA.ODAT.GI.ZS,EG.ELC.ACCS.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.RNEW.ZS,EG.IMP.CONS.ZS,EN.ATM.GHGO.ZG,EN.POP.DNST,ER.H2O.FWTL.ZS,FB.ATM.TOTL.P5,FB.CBK.BRWR.P3,FB.CBK.DPTR.P3,GC.FIN.FRGN.GD.ZS,GC.REV.SOCL.ZS,GC.TAX.EXPT.ZS,GC.TAX.GSRV.RV.ZS,GDPdelta,GDPpercentgrowth,IT.CEL.SETS.P2,IT.NET.USER.P2,MS.MIL.TOTL.TF.ZS,MS.MIL.XPND.GD.ZS,NE.TRD.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TETC.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.CD,SE.ADT.1524.LT.ZS,SE.COM.DURS,country code,country_name,income_group,per_allsp.cov_pop_tot,region,growthInd
41.8439716312,,34.0425531915,,,,,,,,,,,,,,,,,,,,181.537588652,,,,,,,,,-405851520.716,-10.0924663371,80.1541929692,73.1466666667,,,,0.397095536034,3.34636475536,15.4957686685,76.0859285995,3887332644.72,3744149490.5,45563.6588357,,10.0,ADO,Andorra,High income,,Europe & Central Asia,-1
58.067579573,,2.06782464847,34.8755571053,46.6954842589,0.450163280122,-2610640076.89,-121773233.74,1.12801328873,,,86.3491333333,0.522044191802,,0.0586173018367,262.177776349,,,,75.9438084199,,-22.573,40.6486209397,,0.332172576404,3.80307234996,64.4656972022,1.80891852731,0.212961646717,0.0168235126683,3.01312572872,4654871864.98,39.7133125596,28.277184682,2.43,1.98400235619,2.20860783255,68.7153662545,28.7410655567,16.6031070732,25.7931732056,45.4657612377,10840438614.6,12854334131.0,407.829472683,,9.0,AFG,Afghanistan,Low income,15.7331125649,South Asia,1
46.4345873105,,47.1080452394,24.77987217,1.17174457263,1.52330860003,30611498250.5,165750505.307,0.0488637211673,,,23.5299666667,17.5406773373,,0.895296250457,2.60386083349,,27.2096214085,72.7903785915,72.7903785915,-763.277501139,6938.94455676,15.9210344643,0.476891891892,7.62519550981,,53.2159625057,0.929362236793,2.24348391159,0.00238264152147,14.1246254826,10367763843.1,15.1530204084,35.9470817819,1.96666666667,1.64569065166,3.8355251017,118.445027098,,,,,73373112929.9,75349279970.6,3690.77771596,,6.0,AGO,Angola,Upper middle income,,Sub-Saharan Africa,0
42.5948905109,,28.4211678832,39.2934116338,67.4885788954,2.04791896536,-3421523861.16,-824385773.769,12.0905686333,,,42.2618333333,33.6614551155,,0.583565906474,7.96155332509,,0.877570672078,99.1224293279,99.1224293279,44.3396736163,16.4911680233,107.601581509,4.87360594796,27.10933649,96.6055433271,,,,,,904479642.327,8.74037447557,70.1491077792,26.6987051361,1.15219215371,1.77428375878,84.0864525078,19.5683710454,6.86914889694,27.5238750925,52.9077538546,11875525829.5,10992035609.0,4029.22995894,98.8312072754,8.0,ALB,Albania,Upper middle income,67.727394781,Europe & Central Asia,0
5.88157894737,,3.77009569378,,,3.91230917822,,,,45.8286488217,22.31955174,,,,,,,100.0,0.0,0.0,-221.371820833,52.048857368,82.1996212121,2665.33333333,46.3472236092,,,,,,,40245801853.4,13.9824041884,136.423704099,62.6666666667,1.14137550594,4.13521719664,146.257880417,,,,,2.7564603597e+11,2.88765695888e+11,40512.9519272,,6.0,ARE,United Arab Emirates,High income,,Middle East & North Africa,0
52.6287839202,,10.6815167228,6.97636140499,36.0804200436,0.372183978292,15901659321.0,-5536387507.05,0.195861266362,14.8029228431,1.01604845952,,,,,0.166839804324,,65.1483258595,27.0207982541,28.3622139403,-8.66514396441,247.481864728,14.7563180338,,32.9775420859,277.933457019,637.758723518,,,,,61383297689.9,15.5597932968,117.024053613,29.3530854735,0.579664250701,0.810302836263,38.2968044983,7.9050603258,19.3939222348,31.148166082,60.9467735922,3.28820391085e+11,3.97035006977e+11,8139.14200836,,13.0,ARG,Argentina,Upper middle income,,Latin America & Caribbean,0
61.4155251142,,11.6403231472,19.0198108652,39.754547519,0.297596972403,-2207726227.72,-762857065.432,16.9458738927,1.42488485351,0.0215676380736,42.7844,31.2016092783,,0.999991230956,11.318425987,,23.921611614,32.7211545625,32.7731749099,70.7029180289,311.68588042,104.545767475,41.6678816154,22.3155469812,,,5.14313545483,13.1804543122,,41.690769488,1332651483.59,13.4977442492,61.6741845378,9.17708446571,3.35331933196,3.53173465727,57.5060634555,19.1980244688,10.0371663421,41.0873325779,39.7146429533,9838759720.75,9829491793.09,3305.51011305,,11.0,ARM,Armenia,Lower middle income,60.82431286,Europe & Central Asia,0
20.4545454545,,22.2727272727,62.0672850027,20.8286015801,0.21978976242,-540764376.667,-192545053.457,1.64818355521,,,,,,,1.47675373981,,,,0.0,,641121.374046,193.975,16.1538461538,67.4805591622,,,2.57373668322,,,40.7337699702,-62891204.823,-4.52705897245,149.847030928,38.0,,,113.202292146,1.8395129358,2.1134140856,22.2759896946,75.884499573,1281004851.85,1334111785.95,15013.8345989,,11.0,ATG,Antigua and Barbuda,High income,,Latin America & Caribbean,-1
54.3138556595,,16.2689559116,9.17578396345,40.7331009301,1.98384292256,-12141947395.3,-20170241312.0,0.14868343313,117.74591706,110.476032095,,,,,,,91.9188615226,5.18213626868,8.08076313821,-130.870035448,1228.00972669,2.7669014054,3.81300813008,152.193857229,,,,,0.00450695871844,22.7713526362,92259365004.4,8.70092080529,100.999223113,71.79,0.49336867297,1.90264104732,42.822587831,2.46283527149,9.723055733,28.1888977259,69.3280327381,9.44724962567e+11,1.09321265648e+12,44433.6926094,,10.0,AUS,Australia,High income,,East Asia & Pacific,0
38.8735126104,,46.7014099031,24.4790267992,26.2293725443,10.2992729436,2405900248.72,11013212296.8,0.760009087588,35.9051820499,23.1068141143,,,,,,,29.3313382261,60.1176922834,69.8742411192,65.7954567025,94.8461106283,100.757317565,,110.373173214,,,,32.1083520977,,26.3098268496,21380039735.1,5.45539276126,128.49704811,71.8966666667,0.74809273218,0.873536647737,96.5836420918,1.47072928438,19.5030387193,29.9575299029,68.5717408127,4.03888251831e+11,3.90909337748e+11,48542.4047044,,9.0,AUT,Austria,High income,,Europe & Central Asia,0
